Stock Symbol,name,url,content,description,apiSource,date
AAPL,"AAPL 2019 performance is the best since 2009, up more than 80% year to date",https://9to5mac.com/2019/12/27/aapl-2019-performance/,"AAPL 2019 performance is the stock’s best since 2009, gaining more than 80% in value during the course of the year.
Apple made headlines when it first topped a trillion dollar valuation back in 2018. It subsequently fell below the magic number, but strong ga… [+2343 chars]","AAPL 2019 performance is the stock’s best since 2009, gaining more than 80% in value during the course of the year. Apple made headlines when it first topped a trillion dollar valuation back in 2018. It subsequently fell below the magic number, but strong gai…",NewsAPI,2019-12-27
AAPL,"Apple and Microsoft surged in 2019, accounting for 15% of the stock market’s total gains",https://9to5mac.com/2019/12/31/aapl-2019-performance-market/,"Apples 2019 got off to a rocky start when it was forced to issue a rare revision to its earnings forecast for the fiscal first quarter of 2019. Since then, however, AAPL stock has outperformed the rest of the market, with CNBC reporting that Apple and Microso… [+1806 chars]","Apple’s 2019 got off to a rocky start when it was forced to issue a rare revision to its earnings forecast for the fiscal first quarter of 2019. Since then, however, AAPL stock has outperformed the rest of the market, with CNBC reporting that Apple and Micros…",NewsAPI,2019-12-31
AAPL,Analyst expects Apple Watch and AirPods to surprise investors with holiday quarter results,https://9to5mac.com/2019/12/30/apple-surprise-investors-strong-holiday-apple-watch-airpods-results/,"Citi analyst Jim Suva is bullish on Apple and shared with CNBC today that he thinks the company’s wearables category, particularly Apple Watch and AirPods will offer a nice surprise to investors when Apple reports on its holiday quarter.
Suva’s AAPL price ta… [+1113 chars]","Citi analyst Jim Suva is bullish on Apple and shared with CNBC today that he thinks the company’s wearables category, particularly Apple Watch and AirPods will offer a nice surprise to investors when Apple reports on its holiday quarter. more… Check out 9to5M…",NewsAPI,2019-12-30
AAPL,Apple board members have been sued four times now over Q1 2019 guidance,https://9to5mac.com/2019/12/23/apple-board-members-sued/,"Tim Cook and his fellow Apple board members are facing their fourth lawsuit for alleged breaches of the law in respect of the original earnings guidance issued for Q1 2019…
Background
Apple originally guided revenue in the $89 billion to $93 bilion range fo… [+2904 chars]",Tim Cook and his fellow Apple board members are facing their fourth lawsuit for alleged breaches of the law in respect of the original earnings guidance issued for Q1 2019… more… The post Apple board members have been sued four times now over Q1 2019 guidance…,NewsAPI,2019-12-23
AAPL,Investors are misplacing threats to the U.S. stock market,https://www.marketwatch.com/story/investors-are-misplacing-threats-to-the-us-stock-market-2020-01-03,"A general who was the architect of Irans military-related foreign policy was killed by a U.S. drone in Baghdad, Iraq. As a result, U.S. stocks are falling, and oil prices are rising. 
The death of Gen. Qassem Soleimani was viewed by some as an assassination,… [+4743 chars]",Imported oil has significantly less effect on the American economy than it did only a few years ago.,NewsAPI,2020-01-03
AAPL,Jeff Reeves's Strength in Numbers: Jeff Reeves owns up to his ‘best’ stock picks of the year,https://www.marketwatch.com/story/jeff-reeves-owns-up-to-his-best-stock-picks-of-the-year-2019-12-16,"Theres a lot of analysis lately into our current post-truth age. But one go-to study for me comes from Ipsos, titled Fake News, Filter Bubbles, and Post-Truth Are Other Peoples Problems. It found 77% of Americans believe the average person in the country live… [+5044 chars]","There’s that cannabis stock that lost 80%, and then there’s that Apple call...",NewsAPI,2019-12-16
AAPL,"Market Extra: The Nasdaq just hit 9,000 for the first time, but index’s biggest winners aren’t the usual tech suspects",https://www.marketwatch.com/story/the-nasdaq-just-hit-9000-for-the-first-time-but-indexs-biggest-winners-arent-the-usual-tech-suspects-2019-12-26,"One of the U.S. stock markets best performing indexes reached a new psychologically significant mark on Thursday, as the major indexes head to year end with the best gains in years. 
The technology-heavy Nasdaq Composite Index 
COMP, +0.61%,
hit 9,000 for … [+3021 chars]",One of the U.S. stock markets best-performing indexes establishes a new psychologically significant mark — its first in more than a year as the major indexes attempt to end 2019 with some of their best gains in years.,NewsAPI,2019-12-26
AAPL,How being pro-Trump or anti-Trump can hurt stock market investors,https://www.marketwatch.com/story/how-being-pro-trump-or-anti-trump-can-hurt-stock-market-investors-2019-12-16,"The difference of opinion between two groups of investors on the U.S. trade deal with China could not be farther apart. 
Pro-Trumpers are having their moment in the sun and salivating at the prospect of major new gains in the stock market to come. Anti-Trump… [+6003 chars]",The U.S.-China trade deal is good for stocks in the short term but maybe not further down the road.,NewsAPI,2019-12-16
AAPL,Trump in uncharted territory — here’s what’s next for the stock market,https://www.marketwatch.com/story/trump-in-uncharted-territory-heres-whats-next-for-the-stock-market-2020-01-08,"President Trump acted where his two immediate predecessors, presidents Obama and Bush, apparently punted by killing Iranian Gen. Qassem Soleimani. 
After Soleimani was killed and the stock market was falling, I said his death may not be as significant for th… [+6013 chars]",The president’s Iran gambit puts investors on edge.,NewsAPI,2020-01-08
AAPL,"Market Extra: Almost none of the S&P 500’s blockbuster rally in 2019 can be pegged to rising earnings, and that’s a problem, says Goldman",https://www.marketwatch.com/story/almost-none-of-the-sp-500s-blockbuster-rally-in-2019-can-be-pegged-to-rising-earnings-and-thats-a-problem-says-goldman-2020-01-06,"The stock markets historic run in 2019 was driven almost entirely by a vigorous rise in price rather than steady earnings growth, according to researchers at Goldman Sachs. 
Valuation expansion drove nearly all of the S&amp;P 500 return in 2019, wrote Goldma… [+3681 chars]","Earnings growth accounted for just 8% of the S&P 500’s rise last year, contrary to the post-financial crisis trend.",NewsAPI,2020-01-06
ABBV,Drug-Price Increases Show Business as Usual Despite Public Pressure - Barron's,https://www.barrons.com/articles/drug-price-increases-biogen-abbvie-pfizer-51577977634,"The price of prescription drugs was the key political issue for the pharmaceutical industry last year, with members of Congress grilling biotech executives in public hearings and various efforts to rein in costs moving through the legislature.In a note out Th… [+2113 chars]",Drug-Price Increases Show Business as Usual Despite Public Pressure Barron's,NewsAPI,2020-01-02
ABBV,Biotech Stocks Brace For Bonanza Of JP Morgan Healthcare Conference - Investor's Business Daily,https://www.investors.com/news/technology/biotech-stocks-brace-bonanza-jpm-healthcare-conference/,"If biotech stocks were red hot at the end of 2019, expect them to be scorching next week.
XThe health care industry's biggest conference  a bonanza known as the 38th annual J.P. Morgan Healthcare Conference  will kick off Monday in San Francisco. Count on a … [+4409 chars]","If biotech stocks were red hot at the end of 2019, expect them to be scorching next week as the industry's key meeting, hosted by J.P. Morgan, kicks off.",NewsAPI,2020-01-09
ABBV,Final 2019 Update For The Millennial Portfolio,https://seekingalpha.com/article/4315498-final-2019-update-for-millennial-portfolio,"In October 2019, after receiving various emails from my followers regarding stock picks for Millennials, I launched the Millennial Portfolio. First off, I think it is great that young folks are thinking about investing in their futures, which has not been a m… [+9919 chars]",JNJ led the portfolio higher in December with a solid 6.1% increase for the month.ABBV was the big winner for the portfolio gaining 33% in the short 4+ months of owning the stock. ABBV was the first position I bought into for this portfolio.Initiated a positi…,NewsAPI,2020-01-06
ABBV,Top 3 Dividend Stocks For 2020,https://seekingalpha.com/article/4314813-top-3-dividend-stocks-for-2020,"What will 2020 bring us as investors? More dividends! In the next 10 days, I'll be sharing my favorite dividend picks to start the year with a bang! Today, I identify 3 strong dividend paying companies that didn't do so well recently. Here's your chance to gr… [+5263 chars]","In the next 10 days, I'll be sharing my favorite dividend picks to start the year with a bang.Today, I identify 3 strong dividend paying companies that didn't do so well recently.Here's your chance to grab some shares at a good price.",NewsAPI,2020-01-01
ABBV,"CytoDyn: Buy, Sell, Or Hold Following PRO 140 Commercial Agreement",https://seekingalpha.com/article/4314904-cytodyn-buy-sell-hold-following-pro-140-commercial-agreement,"CytoDyn Inc. (OTCQB:CYDY) recently publicized that they have signed a U.S. commercial agreement with Vyera for PRO 140 in HIV indications. In return, CytoDyn will receive an upfront payment and milestone payments worth up to the royalty on net sales. This was… [+6052 chars]","CytoDyn recently announced Vyera Pharmaceuticals as the company's U.S. commercial partner for PRO 140 in HIV indications.As a result, the stock has doubled in value and is now trading north of $1.00 per share. I debate whether to buy, sell, or hold CYDY follo…",NewsAPI,2020-01-02
ABBV,2020 Outlook For Medical Stocks: Greater Selectivity But Continued Consolidation And Favorable Developments,https://seekingalpha.com/article/4312763-2020-outlook-for-medical-stocks-greater-selectivity-continued-consolidation-and-favorable,"2020 should be another favorable year for healthcare investing, though the gains thus far in 2019 should necessitate greater selectivity. The overriding investment theme in healthcare, in my opinion, is the fact that the dual tailwinds of the aging of the pop… [+7691 chars]","As I have previously discussed, at some point, the small and micro cap biopharma stocks, which had been priced for ""non-success"", would rally. This started to occur in Q4.The consolidation in the biopharma sector has increased, with three deals in the past mo…",NewsAPI,2019-12-16
ABBV,Sand In My Shoes - November Update,https://seekingalpha.com/article/4314208-sand-in-shoes-november-update,"November continued a remarkable year for the markets this year, and my portfolio, and hopefully yours, took part in the fun. My portfolio was up 2% for the month and is now up over 20% year to date.
But allow me to take a moment and review my goals for this … [+12069 chars]","The market continued to climb, with the S&P 500 up 3.4% for the month and 25.3% year to date.November notched a slight record in terms of dividends collected for the portfolio.It was a busy month as I added one new position, trimmed one of my positions, and a…",NewsAPI,2019-12-26
ABBV,2019: A Year In Review And What Could Outperform In 2020,https://seekingalpha.com/article/4315240-2019-year-in-review-and-what-outperform-in-2020,"Source: Forbes.com
A Year in Review and What Could Outperform in 2020
Albright Investment Group, AIG, closed out the year with another strong quarter. By far the best-performing segment in Q4 was the stock and equity ETF portion of our portfolio. This segme… [+11798 chars]","Stocks had a strong Q4, and one of their best years in recent history with the S&P 500 gaining around 30% in 2019.Our stock and ETF sector also had a record run, delivering roughly 24% in Q4, 29% once dividends and covered call premiums were factored in.Our g…",NewsAPI,2020-01-05
ABBV,Looking For Quality Stocks With High-Conviction Buybacks,https://seekingalpha.com/article/4315312-looking-for-quality-stocks-high-conviction-buybacks,"When a company repurchases stock, it is basically allocating shareholder capital to a very specific investment: its own shares. If done right - and this is not always the case - buybacks can create a lot of value for investors.
The following paragraphs will … [+10956 chars]","When a company repurchases stock, it is basically investing in its own shares.Depending on the particular case, this can be strongly profitable or value-destroying.High-conviction buybacks, meaning buybacks that account for over 5% of the shares outstanding, …",NewsAPI,2020-01-06
ABBV,March To Freedom Fund 2019 Update: Record Income And Total Return,https://seekingalpha.com/article/4316203-march-to-freedom-fund-2019-update-record-income-and-total-return,"When you're managing your own retirement planning, every dollar invested and every transaction is important. And every dividend is important when you are planning on using the dividends that your portfolio produces to cover expenses once you reach retirement.… [+21384 chars]","Our portfolio once again outperformed the S&P 500 in 2019, marking the fifth consecutive year we've beaten the index.More importantly, our income made a new high every month of the year.We had a very active year, making 33 buys while closing 3 positions.",NewsAPI,2020-01-10
ABBV,"Five Year Plan, Update #4 -- Decade In Review",https://seekingalpha.com/article/4315107-five-year-plan-update-4-decade-in-review,I kicked off my Five Year Plan in August 2015 at a time when I wanted to set some targets and provide more actual guidance around how my stock portfolio was developing. I wanted to chart a course so I would have something to aim for along the way as I put mon… [+16230 chars],I culminate my Five Year Plan with a successful fourth year.Record dividend income totals have been reached.I review the milestones achieved over the course of the past decade.,NewsAPI,2020-01-03
ABBV,"5-Year Plan, Update #4 - Decade In Review",https://seekingalpha.com/article/4315107-5-year-plan-update-4-decade-in-review,I kicked off my Five-Year Plan in August 2015 at a time when I wanted to set some targets and provide more actual guidance around how my stock portfolio was developing. I wanted to chart a course so I would have something to aim for along the way as I put mon… [+16284 chars],I culminate my Five-Year Plan with a successful fourth year.Record dividend income totals have been reached.I review the milestones achieved over the course of the past decade.,NewsAPI,2020-01-03
ABBV,"The 8% Income Portfolio: High Income, Lower Volatility, And 30% Return In 2019",https://seekingalpha.com/article/4314986-8-income-portfolio-high-income-lower-volatility-and-30-return-in-2019,"The ""8% Income Portfolio"" continues to perform well during good times and bad. Currently, it provides a 10.80% yield on the cost basis and a 7.02% yield on the current value of the portfolio. During the year 2019, the portfolio has returned more than 30% (26.… [+25710 chars]","2019 end-of-year review of 5-year old 8% Income Portfolio.The portfolio has been meeting its goals both in the good times and the bad. Also, it continues to generate high levels of income, irrespective of the market environment.We will provide updates on rece…",NewsAPI,2020-01-04
ABBV,The Retiree's Dividend Portfolio - Jane's November Update: A Reminder Why We Sold Shares Of CBL.PD,https://seekingalpha.com/article/4312590-retirees-dividend-portfolio-janes-november-update-reminder-why-sold-shares-of-cbl-pd,"For those who followed my articles regarding John and Jane, you might remember that at one point Jane held a small position in CBL in the form of preferred shares D (CBL.PD) in her Traditional IRA. It was a tough pill to swallow selling the preferred shares a… [+16109 chars]","Jane's retirement accounts generated a total of $1,185.75 in dividend income for November 2019 vs. $891.07 of dividends in November of 2018.A total of three companies paid an increased dividend or issued a special dividend during the month of November.We made…",NewsAPI,2019-12-15
ABBV,Blue Chip DRiP Portfolio: Record Dividend Income To Close Out 2019,https://seekingalpha.com/article/4314827-blue-chip-drip-portfolio-record-dividend-income-to-close-out-2019,"That's a Wrap on 2019
Wow. December flew by in the blink of an eye. Film a two-week HBO pilot - check. Relocate the family from California to Idaho - check. Christmas and Hanukkah festivities and gifts - check. As I pen this article from the comfort of a cam… [+16444 chars]","The holidays have come and gone, and so has 2019. Let's ring in the New Year with a record-breaking December update and new goals for 2020!The portfolio had our best month yet - receiving $1835.96 in dividend income from 33 different stocks. That brings our 2…",NewsAPI,2020-01-02
ABBV,Why Gilead Could Be A Strong Outperformer Over The Coming Years,https://seekingalpha.com/article/4313389-why-gilead-be-strong-outperformer-over-coming-years,"As a contrarian investor, I am constantly looking for buying opportunities where the market is irrationally discounting stocks. Empirical research has shown that these contrarian investors on average achieve a high abnormal return. During this research I like… [+19157 chars]","Gilead significantly underperformed the market due to its strongly declining HCV franchise. However, HIV growth diminished this impact and caused revenues to stabilize in 2019.Peers like Abbvie and BMY have seen a surge in its stock price due to recent M&A's,…",NewsAPI,2019-12-19
ABBV,A New Year And A New Short-Term Bond Portfolio,https://seekingalpha.com/article/4314605-new-year-and-new-short-term-bond-portfolio,"With equity markets continuing their melt up this year, many retail investors feel a need to chase performance and get into stocks with the new year approaching. Instead of playing the calendar performance game, why not consider a short-term corporate bond po… [+6652 chars]","As the Dow Jones approaches historical highs, investors can be patient for a pullback while still earning roughly 2% with a short-term corporate bond portfolio.JP Morgan's Ultra-Short Income ETF produced 3.30% this year, with a standard deviation of just .22%…",NewsAPI,2019-12-30
ABBV,Top Holdings Of Dividend ETFs (Part 3: Hidden Gems In November 2019),https://seekingalpha.com/article/4313086-top-holdings-of-dividend-etfs-part-3-hidden-gems-in-november-2019,"Part 1 of this article presented the top 50 holdings of 50 dividend-paying ETFs. To rank these holdings, I use a proportional scoring system that favors larger investments and larger ETFs. The top-ranked stock in November 2019 is Apple (AAPL), followed by Mic… [+18331 chars]","Part 1 of this article presented the top 50 holdings of 50 dividend-paying ETFs, ranked by using a proportional scoring system that favors larger investments and larger ETFs.Part 2 showcased the top 7 stocks in each GICS sector, providing investors looking to…",NewsAPI,2019-12-18
ABBV,Monthly Review Of DivGro: December 2019,https://seekingalpha.com/article/4314830-monthly-review-of-divgro-december-2019,"Welcome to the December review of DivGro, my portfolio of dividend growth stocks. The goal of these reviews is to provide a summary of dividends received and to detail buy and sell transactions. I also look at how DivGro's projected annual dividend income (PA… [+8220 chars]","I review my portfolio of dividend growth stocks, DivGro, providing a summary of transactions and the impact of those transactions on projected annual dividend income.In December, I added shares to four existing positions in my portfolio, which contains 93 dif…",NewsAPI,2020-01-02
ABBV,Quarterly Review Of DivGro: Q4 2019,https://seekingalpha.com/article/4315692-quarterly-review-of-divgro-q4-2019,"This is the 28th quarterly review of DivGro, my portfolio of dividend growth stocks.
My quarterly reviews summarize the transactions executed in the past quarter and provide a summary of dividend income and dividend changes. Additionally, I include charts sh… [+12323 chars]","This is a quarterly review of DivGro, my portfolio of dividend growth stocks. I write these reviews to summarize investment decisions and to share portfolio statistics.The article includes charts showing DivGro's composition and how positions contribute to pr…",NewsAPI,2020-01-08
ABT,Latest Audi SQ7 Diesel Ups To 503 Horses Thanks To ABT,https://www.carscoops.com/2019/12/latest-audi-sq7-diesel-ups-to-503-horses-thanks-to-abt/,"Skip to contentLatest Audi SQ7 Diesel Ups To 503 Horses Thanks To ABT
It’s only been a few months since the lightly redesigned 2020 Audi SQ7 entered the stage, but ABT Sportline is already up to its old tuning tricks.
As you’d expect, the 4.0-liter twin-tur… [+1463 chars]",The diesel-powered 2020 Audi SQ7 has 503 hp and 715 lb-ft of torque after visiting ABT.,NewsAPI,2019-12-20
ABT,S&P 500 Today Leads Market; Four Top Stocks Reach Buy Points - Investor's Business Daily,https://www.investors.com/market-trend/stock-market-today/sp-500-today-leads-stock-market-ibd-50/,"The stock market climbed off session lows after shaking off an early slump. The Nasdaq composite looked to stretch its win streak to eight days in a row, and the S&amp;P 500 today led the market.
XIndexes traded near session highs and at record levels in aft… [+2488 chars]","S&P 500 Today Leads Market; Four Top Stocks Reach Buy Points Investor's Business Daily Here’s how the Dow and S&P 500 perform in years after they ring up gains of 20% MarketWatch Wall Street rides trade optimism, healthy consumer spending to record highs Reut…",NewsAPI,2019-12-20
ABT,March To Freedom Fund 2019 Update: Record Income And Total Return,https://seekingalpha.com/article/4316203-march-to-freedom-fund-2019-update-record-income-and-total-return,"When you're managing your own retirement planning, every dollar invested and every transaction is important. And every dividend is important when you are planning on using the dividends that your portfolio produces to cover expenses once you reach retirement.… [+21384 chars]","Our portfolio once again outperformed the S&P 500 in 2019, marking the fifth consecutive year we've beaten the index.More importantly, our income made a new high every month of the year.We had a very active year, making 33 buys while closing 3 positions.",NewsAPI,2020-01-10
ABT,"The 8% Income Portfolio: High Income, Lower Volatility, And 30% Return In 2019",https://seekingalpha.com/article/4314986-8-income-portfolio-high-income-lower-volatility-and-30-return-in-2019,"The ""8% Income Portfolio"" continues to perform well during good times and bad. Currently, it provides a 10.80% yield on the cost basis and a 7.02% yield on the current value of the portfolio. During the year 2019, the portfolio has returned more than 30% (26.… [+25710 chars]","2019 end-of-year review of 5-year old 8% Income Portfolio.The portfolio has been meeting its goals both in the good times and the bad. Also, it continues to generate high levels of income, irrespective of the market environment.We will provide updates on rece…",NewsAPI,2020-01-04
ABT,Top Holdings Of Dividend ETFs (Part 3: Hidden Gems In November 2019),https://seekingalpha.com/article/4313086-top-holdings-of-dividend-etfs-part-3-hidden-gems-in-november-2019,"Part 1 of this article presented the top 50 holdings of 50 dividend-paying ETFs. To rank these holdings, I use a proportional scoring system that favors larger investments and larger ETFs. The top-ranked stock in November 2019 is Apple (AAPL), followed by Mic… [+18331 chars]","Part 1 of this article presented the top 50 holdings of 50 dividend-paying ETFs, ranked by using a proportional scoring system that favors larger investments and larger ETFs.Part 2 showcased the top 7 stocks in each GICS sector, providing investors looking to…",NewsAPI,2019-12-18
ABT,Abeona Therapeutics: Speculative Buy After Financing,https://seekingalpha.com/article/4314055-abeona-therapeutics-speculative-buy-after-financing,"Shares of Abeona Therapeutics (ABEO) have lost half of their value since we uncovered this intriguing gene therapy story back in 2016, highlighting promising early data for ABO-102 in Sanfilippo B syndrome and also for EB-101 in RDEB (recessive dystrophic epi… [+11446 chars]",Shares have lost half their value since our first look at this gene therapy story in 2016.A crisis of confidence in management and lack of timely execution in the clinic brought the valuation down to lows recently seen in Q4.A highly dilutive offering occurre…,NewsAPI,2019-12-25
ABT,10 Stocks For 2020: Picks For The New Year,https://seekingalpha.com/article/4313456-10-stocks-for-2020-picks-for-new-year,"(Source: Pixabay)
The year 2019 is coming to an end and when we are looking at the major indices, the performance during this year is quite impressive and not just for the US indices. The year is not over yet and we never know what might happen, but the chan… [+22182 chars]","Considering the warning signs we get from the bond market, the Fed or the S&P 500 earnings, a recession in the near future is not unlikely.One should position for such a scenario and pick recession-proof stocks - like healthcare companies and stocks from the …",NewsAPI,2019-12-20
ABT,"Chevron, Kimberly-Clark Among 13 Companies To Announce Modest Dividend Increases In January",https://seekingalpha.com/article/4314463-chevron-kimberly-clark-among-13-companies-to-announce-modest-dividend-increases-in-january,"Those of you who follow this series of articles know that I track the dividend increases of a variety of long-term dividend growth companies. Back at the end of November, I provided predictions for 15 long-term dividend growth companies that have historically… [+16519 chars]","It was a mixed bag for dividend growth companies in December. Abbott, J&J Snack Foods and Stryker led the way with 10%+ increases.
        Mostly, though, the announcements of payout boosts were in the low single digit percentages, including from very mature …",NewsAPI,2019-12-30
ABT,Abbott Laboratories (ABT) vs. Hedge Fund Favorites in 2019,https://finance.yahoo.com/news/abbott-laboratories-abt-vs-hedge-212558407.html,"Out of thousands of stocks that are currently traded on the market, it is difficult to identify those that will really generate strong returns. Hedge funds and institutional investors spend millions of dollars on analysts with MBAs and PhDs, who are industry … [+6409 chars]","Out of thousands of stocks that are currently traded on the market, it is difficult to identify those that will really generate strong returns. Hedge funds and institutional investors spend millions of dollars on analysts with MBAs and PhDs, who are industry …",NewsAPI,2019-12-27
ABT,Abbott (ABT) Dips More Than Broader Markets: What You Should Know,https://finance.yahoo.com/news/abbott-abt-dips-more-broader-225010408.html,"Abbott (ABT) closed the most recent trading day at $86.93, moving -0.15% from the previous trading session. This change lagged the S&amp;P 500's 0.04% loss on the day. Meanwhile, the Dow lost 0.1%, and the Nasdaq, a tech-heavy index, added 0.05%.
Prior to to… [+2981 chars]","In the latest trading session, Abbott (ABT) closed at $86.93, marking a -0.15% move from the previous day.",NewsAPI,2019-12-18
ABT,"Top Stock Reports for Facebook, Alibaba & Mastercard",https://finance.yahoo.com/news/top-stock-reports-facebook-alibaba-183606336.html,"Friday, December 27, 2019
The Zacks Research Daily presents the best research output of our analyst team. Today's Research Daily features new research reports on 16 major stocks, including Facebook (FB), Alibaba Group (BABA) and Mastercard (MA). These resear… [+7483 chars]","Top Stock Reports for Facebook, Alibaba & Mastercard",NewsAPI,2019-12-27
